countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Ada,643,0,0,48,1,2.0833333333333335,Null
Adams,8,0,0,0,NA,NA,Null
Bannock,137,1,0.7299270072992701,4,2,50,6750
Bear lake,3,NA,NA,2,NA,NA,Null
Benewah,15,0,0,4,NA,NA,Null
Bingham,50,0,0,8,1,12.5,Null
Blaine,35,3,8.571428571428571,0,0,NaN,Null
Boise,13,2,15.384615384615385,1,1,100,550
Bonner,41,0,0,5,0,0,Null
Bonneville,111,1,0.9009009009009009,6,0,0,Null
Boundary,6,0,0,3,0,0,Null
Butte,2,0,0,0,0,NaN,Null
Camas,3,NA,NA,0,NA,NA,Null
Canyon,340,1,0.29411764705882354,50,4,8,2620
Caribou,9,0,0,0,NA,NA,Null
Cassia,34,0,0,5,NA,NA,Null
Clark,5,NA,NA,3,NA,NA,Null
Clearwater,10,0,0,1,NA,NA,Null
Custer,1,0,0,0,NA,NA,Null
Elmore,49,0,0,8,0,0,Null
Franklin,4,0,0,0,NA,NA,Null
Fremont,12,0,0,2,NA,NA,Null
Gem,7,0,0,0,1,Inf,Null
Gooding,18,1,5.555555555555555,3,0,0,Null
Idaho,18,0,0,0,0,NaN,Null
Jefferson,22,0,0,1,1,100,Null
Jerome,30,3,10,11,1,9.090909090909092,-9.09090909090908
Kootenai,152,0,0,18,0,0,Null
Latah,34,0,0,3,NA,NA,Null
Lemhi,10,0,0,3,NA,NA,Null
Lewis,3,0,0,1,0,0,Null
Lincoln,7,0,0,0,0,NaN,Null
Madison,45,2,4.444444444444445,5,0,0,Null
Minidoka,14,0,0,5,NA,NA,Null
Nez perce,61,1,1.639344262295082,5,0,0,Null
Oneida,15,0,0,3,NA,NA,Null
Owyhee,11,0,0,3,0,0,Null
Payette,19,0,0,1,0,0,Null
Power,10,NA,NA,2,NA,NA,Null
Shoshone,17,1,5.882352941176471,4,NA,NA,Null
Teton,6,0,0,0,NA,NA,Null
Twin falls,115,1,0.8695652173913043,8,3,37.5,4212.5
Valley,17,0,0,2,0,0,Null
Washington,7,0,0,1,NA,NA,Null
